
> my-project@0.1.0 dev
> next dev --webpack

▲ Next.js 16.2.0 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.168.62:3000
✓ Ready in 432ms

 GET / 200 in 18ms (next.js: 1504µs, application-code: 17ms)
 GET / 200 in 21ms (next.js: 3ms, application-code: 18ms)
 GET / 200 in 20ms (next.js: 1949µs, application-code: 18ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 18ms)
 GET / 200 in 20ms (next.js: 1794µs, application-code: 18ms)
 GET / 200 in 20ms (next.js: 1645µs, application-code: 18ms)
 GET / 200 in 21ms (next.js: 1696µs, application-code: 19ms)
 GET / 200 in 18ms (next.js: 1856µs, application-code: 16ms)
 GET / 200 in 27ms (next.js: 1840µs, application-code: 25ms)
 GET / 200 in 22ms (next.js: 1654µs, application-code: 20ms)
 GET / 200 in 17ms (next.js: 2ms, application-code: 15ms)
 GET / 200 in 28ms (next.js: 5ms, application-code: 24ms)
 GET / 200 in 26ms (next.js: 2ms, application-code: 24ms)
 GET / 200 in 96ms (next.js: 4ms, application-code: 92ms)
 GET / 200 in 33ms (next.js: 1677µs, application-code: 31ms)
 GET / 200 in 22ms (next.js: 2ms, application-code: 20ms)
 GET / 200 in 22ms (next.js: 1819µs, application-code: 20ms)
 GET / 200 in 22ms (next.js: 2ms, application-code: 20ms)
 GET / 200 in 23ms (next.js: 3ms, application-code: 21ms)
 GET / 200 in 20ms (next.js: 1772µs, application-code: 19ms)
 GET / 200 in 23ms (next.js: 3ms, application-code: 20ms)
 GET / 200 in 16ms (next.js: 1493µs, application-code: 14ms)
 GET / 200 in 18ms (next.js: 2ms, application-code: 16ms)
 GET / 200 in 16ms (next.js: 2ms, application-code: 14ms)
 GET / 200 in 22ms (next.js: 1944µs, application-code: 20ms)
 GET / 200 in 20ms (next.js: 1917µs, application-code: 19ms)
 GET / 200 in 20ms (next.js: 1583µs, application-code: 19ms)
 GET / 200 in 20ms (next.js: 1672µs, application-code: 18ms)
 GET / 200 in 19ms (next.js: 1567µs, application-code: 18ms)
 GET / 200 in 20ms (next.js: 1487µs, application-code: 19ms)
 GET / 200 in 18ms (next.js: 1354µs, application-code: 17ms)
 GET / 200 in 21ms (next.js: 1580µs, application-code: 19ms)
 GET / 200 in 19ms (next.js: 1531µs, application-code: 18ms)
 GET / 200 in 33ms (next.js: 1886µs, application-code: 31ms)
 GET / 200 in 20ms (next.js: 1517µs, application-code: 19ms)
 GET / 200 in 14ms (next.js: 1449µs, application-code: 13ms)
 GET / 200 in 28ms (next.js: 3ms, application-code: 26ms)
 GET / 200 in 21ms (next.js: 1777µs, application-code: 19ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 18ms)
 GET / 200 in 23ms (next.js: 1683µs, application-code: 21ms)
 GET / 200 in 61ms (next.js: 2ms, application-code: 59ms)
 GET / 200 in 58ms (next.js: 3ms, application-code: 55ms)
 GET / 200 in 29ms (next.js: 1608µs, application-code: 28ms)
 GET / 200 in 20ms (next.js: 1608µs, application-code: 18ms)
 GET / 200 in 17ms (next.js: 3ms, application-code: 15ms)
 GET / 200 in 19ms (next.js: 1582µs, application-code: 17ms)
 GET / 200 in 20ms (next.js: 1556µs, application-code: 18ms)
 GET / 200 in 20ms (next.js: 1773µs, application-code: 18ms)
 GET / 200 in 19ms (next.js: 1461µs, application-code: 18ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 18ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 18ms)
 GET / 200 in 17ms (next.js: 1441µs, application-code: 15ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 21ms (next.js: 3ms, application-code: 19ms)
 GET / 200 in 17ms (next.js: 1705µs, application-code: 16ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 104ms (next.js: 1504µs, application-code: 102ms)
 GET / 200 in 22ms (next.js: 1600µs, application-code: 20ms)
 GET / 200 in 19ms (next.js: 1639µs, application-code: 18ms)
 GET / 200 in 21ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 27ms (next.js: 1474µs, application-code: 25ms)
 GET / 200 in 133ms (next.js: 1696µs, application-code: 131ms)
 GET / 200 in 33ms (next.js: 3ms, application-code: 30ms)
 GET / 200 in 29ms (next.js: 2ms, application-code: 27ms)
 GET / 200 in 22ms (next.js: 1843µs, application-code: 21ms)
 GET / 200 in 27ms (next.js: 1973µs, application-code: 25ms)
 GET / 200 in 21ms (next.js: 1710µs, application-code: 20ms)
 GET / 200 in 32ms (next.js: 4ms, application-code: 28ms)
 GET / 200 in 20ms (next.js: 1660µs, application-code: 19ms)
 GET / 200 in 18ms (next.js: 1445µs, application-code: 16ms)
 GET / 200 in 23ms (next.js: 1724µs, application-code: 21ms)
 GET / 200 in 19ms (next.js: 1630µs, application-code: 18ms)
 GET / 200 in 20ms (next.js: 1592µs, application-code: 19ms)
 GET / 200 in 19ms (next.js: 1863µs, application-code: 17ms)
 GET / 200 in 33ms (next.js: 2ms, application-code: 31ms)
 GET / 200 in 20ms (next.js: 1847µs, application-code: 18ms)
 GET / 200 in 17ms (next.js: 2ms, application-code: 15ms)
 GET / 200 in 19ms (next.js: 1586µs, application-code: 17ms)
 GET / 200 in 21ms (next.js: 1714µs, application-code: 20ms)
 GET / 200 in 27ms (next.js: 2ms, application-code: 25ms)
 GET / 200 in 29ms (next.js: 5ms, application-code: 24ms)
 GET / 200 in 23ms (next.js: 1894µs, application-code: 21ms)
 GET / 200 in 124ms (next.js: 4ms, application-code: 121ms)
 GET / 200 in 122ms (next.js: 3ms, application-code: 119ms)
 GET / 200 in 29ms (next.js: 2ms, application-code: 26ms)
 GET / 200 in 23ms (next.js: 3ms, application-code: 21ms)
 GET / 200 in 18ms (next.js: 1784µs, application-code: 16ms)
 GET / 200 in 18ms (next.js: 3ms, application-code: 15ms)
 GET / 200 in 17ms (next.js: 2ms, application-code: 15ms)
 GET / 200 in 18ms (next.js: 3ms, application-code: 15ms)
 GET / 200 in 20ms (next.js: 1567µs, application-code: 18ms)
 GET / 200 in 20ms (next.js: 1930µs, application-code: 18ms)
 GET / 200 in 18ms (next.js: 2ms, application-code: 16ms)
 GET / 200 in 19ms (next.js: 1653µs, application-code: 17ms)
 GET / 200 in 25ms (next.js: 1880µs, application-code: 23ms)
 GET / 200 in 18ms (next.js: 1954µs, application-code: 16ms)
 GET / 200 in 20ms (next.js: 1546µs, application-code: 18ms)
 GET / 200 in 18ms (next.js: 1488µs, application-code: 17ms)
 GET / 200 in 20ms (next.js: 2ms, application-code: 18ms)
 GET / 200 in 20ms (next.js: 3ms, application-code: 17ms)
 GET / 200 in 18ms (next.js: 1609µs, application-code: 16ms)
 GET / 200 in 20ms (next.js: 1759µs, application-code: 18ms)
 GET / 200 in 22ms (next.js: 2ms, application-code: 19ms)
 GET / 200 in 50ms (next.js: 2ms, application-code: 48ms)
